Date,Stock,Predicted_Return,Rank
2025-01-23,GSPL,-0.2068425714969635,83
2025-01-23,VIPIND,-0.21347248554229736,84
2025-01-23,RAYMOND,-0.2068425714969635,85
2025-01-23,AARTIIND,-0.21159571409225464,86
2025-01-23,ENGINERSIN,-0.2068425714969635,87
2025-01-23,VOLTAS,-0.21347245573997498,88
2025-01-23,KALYANKJIL,-0.21347245573997498,89
2025-01-23,EIDPARRY,-0.21159571409225464,90
2025-01-23,PETRONET,-0.2068425714969635,91
2025-01-23,PFC,-0.21363691985607147,92
2025-01-23,EMAMILTD,-0.2098681628704071,93
2025-01-23,VTL,-0.20318539440631866,94
2025-01-23,SIEMENS,-0.21121074259281158,95
2025-01-23,HINDCOPPER,-0.2068425714969635,96
2025-01-23,METROBRAND,-0.21347248554229736,97
2025-01-23,PFIZER,-0.20425081253051758,98
2025-01-23,EASEMYTRIP,-0.2068425714969635,99
2025-01-23,JUBLPHARMA,-0.21154344081878662,100
2025-01-23,ELECON,-0.2112107276916504,101
2025-01-23,INDIGO,-0.21114039421081543,102
2025-01-23,JINDALSTEL,-0.2068425714969635,103
2025-01-23,POLICYBZR,-0.21363691985607147,104
2025-01-23,GLAND,-0.21154344081878662,105
2025-01-23,WELCORP,-0.21121074259281158,106
2025-01-23,VEDL,-0.2068425714969635,107
2025-01-23,RBLBANK,-0.21363691985607147,108
2025-01-23,WESTLIFE,-0.2068425714969635,109
2025-01-23,JSWSTEEL,-0.2068425714969635,110
2025-01-23,FORTIS,-0.21154342591762543,111
2025-01-23,INDIAMART,-0.2068425714969635,112
2025-01-23,GODREJPROP,-0.2068425714969635,113
2025-01-23,KANSAINER,-0.21347245573997498,114
2025-01-23,DATAPATTNS,-0.2112107276916504,115
2025-01-23,POONAWALLA,-0.21363691985607147,116
2025-01-23,OLECTRA,-0.20980986952781677,117
2025-01-23,AUROPHARMA,-0.21154342591762543,118
2025-01-23,NYKAA,-0.2068425714969635,119
2025-01-23,RCF,-0.21159571409225464,120
2025-01-23,AVANTIFEED,-0.2098681628704071,121
2025-01-23,AXISBANK,-0.21363693475723267,122
2025-01-23,MAZDOCK,-0.21121074259281158,123
2025-01-23,BAJAJ-AUTO,-0.20980986952781677,124
2025-01-23,IRCON,-0.2068425714969635,125
2025-01-23,HDFCLIFE,-0.21363693475723267,126
2025-01-23,POLYCAB,-0.21121074259281158,127
2025-01-23,BAJAJHLDNG,-0.1750323474407196,128
2025-01-23,JUBLFOOD,-0.2068425714969635,129
2025-01-23,JPPOWER,-0.2068425714969635,130
2025-01-23,IOC,-0.2068425714969635,131
2025-01-23,GRANULES,-0.21154342591762543,132
2025-01-23,BAJFINANCE,-0.21363691985607147,133
2025-01-23,WHIRLPOOL,-0.21347245573997498,134
2025-01-23,NTPC,-0.2068425714969635,135
2025-01-23,KIRLOSBROS,-0.21121074259281158,136
2025-01-23,HEG,-0.2112107276916504,137
2025-01-23,PNB,-0.21363691985607147,138
2025-01-23,WIPRO,-0.2068425714969635,139
2025-01-23,KAJARIACER,-0.21347245573997498,140
2025-01-23,RAJESHEXPO,-0.21347245573997498,141
2025-01-23,JWL,-0.21121074259281158,142
2025-01-23,PIDILITIND,-0.21159571409225464,143
2025-01-23,METROPOLIS,-0.21154344081878662,144
2025-01-23,IRCTC,-0.2068425714969635,145
2025-01-23,IGL,-0.2068425714969635,146
2025-01-23,BALRAMCHIN,-0.2098681628704071,147
2025-01-23,ISEC,-0.21363693475723267,148
2025-01-23,TORNTPOWER,-0.2068425714969635,149
2025-01-23,ADANIGREEN,-0.2068425714969635,150
2025-01-23,NIACL,-0.21363693475723267,151
2025-01-23,MMTC,-0.21114040911197662,152
2025-01-23,MINDACORP,-0.20980986952781677,153
